wavelength,Rp_linear,e_Rp_linear_lower,e_Rp_linear_upper,Rp_gp,e_Rp_gp_lower,e_Rp_gp_upper,u1_linear,u1_gp,u2
3910,0.1079,0.00067,0.00045,,,,0.87,,-0.0639
4120,0.10965,0.00061,0.00036,0.10825,0.00067,0.00062,0.7,0.71,-0.0109
4320,0.10831,0.00064,0.00033,0.10728,0.00066,0.00062,0.72,0.73,-0.0275
4525,0.10774,0.00059,0.00027,0.10656,0.00057,0.00057,0.64,0.65,0.046
4720,0.10766,0.0007,0.00025,0.1063,0.00058,0.00058,0.58,0.59,0.0736
4895,0.1074,0.00067,0.00031,0.10629,0.0006,0.00058,0.53,0.53,0.1032
5090,0.10709,0.00065,0.00028,0.10654,0.00058,0.00056,0.55,0.55,0.0884
5300,0.10636,0.00072,0.00029,0.10618,0.00056,0.00056,0.51,0.51,0.108
5505,0.10724,0.00079,0.00023,0.1059,0.0005,0.00054,0.46,0.48,0.1134
5714,0.10734,0.00076,0.00025,0.10681,0.00061,0.00058,0.45,0.46,0.1265
5843,0.10757,0.0015,0.00033,0.10662,0.00088,0.00096,0.41,0.45,0.1348
5893,0.10975,0.0015,0.00038,0.10859,0.0011, 0.0007,0.43,0.48,0.1269
5943,0.1081,0.0018,0.00037,0.1073,0.0011, 0.001, 0.42,0.46,0.1315
6049,0.10741,0.0011,0.00021,0.10668,0.00068,0.00066,0.41,0.43,0.1334
6235,0.107,0.00092,0.00025,0.10637,0.00059,0.00058,0.41,0.42,0.1337
6430,0.10745,0.0011,0.00016,0.10647,0.00065,0.00063,0.36,0.4,0.1404
6630,0.10725,0.0011,0.00017,0.10603,0.00057,0.00061,0.32,0.36,0.1565
6840,0.1071,0.00091,0.0003,0.10642,0.00064,0.00063,0.35,0.38,0.1429
7040,0.1071,0.00093,0.00029,0.10649,0.0007,0.00069,0.35,0.38,0.1434
0,0.10827,0.00017,0.00017,0.10544,0.00039,0.0004,0.5326,0.529,0.0862
